carbonFiberCu_m2_s2_r1 | carbonFiber_m2_s2_r1 | 0*cm 0*cm -17.753*cm | 0 0 0 |      Box | 1.8375*cm 0.0095*cm 2.329*cm  | 
carbonFiberPk_m2_s2_r1 | carbonFiber_m2_s2_r1 | 0*cm 0*cm 2.329*cm | 0 0 0 |      Box | 2.05*cm 0.0095*cm 17.753*cm  | 
 busCable_m2_s2_r1 | sector2_r1 | 0*cm -0.1479*cm 0.82925*cm | 0 0 0 |      Box | 2.1*cm 0.0039*cm 20.082*cm  | 
busCableCu_m2_s2_r1 | busCable_m2_s2_r1 | 0*cm 0*cm -17.753*cm | 0 0 0 |      Box | 1.8375*cm 0.0039*cm 2.329*cm  | 
busCablePk_m2_s2_r1 | busCable_m2_s2_r1 | 0*cm 0*cm 2.329*cm | 0 0 0 |      Box | 2.05*cm 0.0039*cm 17.753*cm  | 
pitchAdaptor_m2_s2_r1 | sector2_r1 | 0*cm -0.1741*cm -14.40975*cm | 0 0 0 |      Box | 2.075*cm 0.016*cm 0.2*cm  | 
pcBoardAndChips_m2_s2_r1 | sector2_r1 | 0*cm -0.2081*cm -16.71175*cm | ordered: zyx 180*deg 0*deg 0*deg |      Box | 1.8365*cm 0.05*cm 2.072*cm  | 
  pcBoard_m2_s2_r1 | pcBoardAndChips_m2_s2_r1 | 0*cm -0.025*cm 0*cm | 0 0 0 |      Box | 1.8365*cm 0.025*cm 2.072*cm  | 
    chipL_m2_s2_r1 | pcBoardAndChips_m2_s2_r1 | 0.999*cm 0.025*cm 1.768*cm | 0 0 0 |      Box | 0.375*cm 0.025*cm 0.25*cm  | 
    chipR_m2_s2_r1 | pcBoardAndChips_m2_s2_r1 | -0.999*cm 0.025*cm 1.768*cm | 0 0 0 |      Box | 0.375*cm 0.025*cm 0.25*cm  | 
epoxyAndRailAndPads_m2_s2_r1 | sector2_r1 | 0*cm -0.15495*cm 0.82925*cm | ordered: zyx 180*deg 0*deg 0*deg |      Box | 2.05*cm 0.00315*cm 20.082*cm  | 
epoxyMajorCu_m2_s2_r1 | epoxyAndRailAndPads_m2_s2_r1 | 0.69375*cm 0*cm -17.753*cm | 0 0 0 |      Box | 1.14375*cm 0.00315*cm 2.329*cm  | 
epoxyMinorCu_m2_s2_r1 | epoxyAndRailAndPads_m2_s2_r1 | -1.29375*cm 0*cm -17.753*cm | 0 0 0 |      Box | 0.54375*cm 0.00315*cm 2.329*cm  | 
epoxyMajorPk_m2_s2_r1 | epoxyAndRailAndPads_m2_s2_r1 | 0.8*cm 0*cm 2.329*cm | 0 0 0 |      Box | 1.25*cm 0.00315*cm 17.753*cm  | 
epoxyMinorPk_m2_s2_r1 | epoxyAndRailAndPads_m2_s2_r1 | -1.4*cm 0*cm 2.329*cm | 0 0 0 |      Box | 0.65*cm 0.00315*cm 17.753*cm  | 
     rail_m2_s2_r1 | epoxyAndRailAndPads_m2_s2_r1 | -0.6*cm -0.003*cm -1.53275*cm | 0 0 0 |      Box | 0.00635*cm 0.00015*cm 18.54925*cm  | 
     pad0_m2_s2_r1 | epoxyAndRailAndPads_m2_s2_r1 | -0.6*cm 0.0002*cm 17.0165*cm | ordered: zyx 0*deg 0*deg -90*deg |     Tube | 0*cm 0.15*cm 0.00305*cm 0*rad 360*rad  | 
     pad1_m2_s2_r1 | epoxyAndRailAndPads_m2_s2_r1 | -0.6*cm 0.0002*cm 17.0165*cm | ordered: zyx 0*deg 0*deg -90*deg |     Tube | 0*cm 0.15*cm 0.00305*cm 0*rad 360*rad  | 
     pad2_m2_s2_r1 | epoxyAndRailAndPads_m2_s2_r1 | -0.6*cm 0.0002*cm 12.9354*cm | ordered: zyx 0*deg 0*deg -90*deg |     Tube | 0*cm 0.15*cm 0.00305*cm 0*rad 360*rad  | 
     pad3_m2_s2_r1 | epoxyAndRailAndPads_m2_s2_r1 | -0.6*cm 0.0002*cm 8.8543*cm | ordered: zyx 0*deg 0*deg -90*deg |     Tube | 0*cm 0.15*cm 0.00305*cm 0*rad 360*rad  | 
     pad4_m2_s2_r1 | epoxyAndRailAndPads_m2_s2_r1 | -0.6*cm 0.0002*cm 5.8433*cm | ordered: zyx 0*deg 0*deg -90*deg |     Tube | 0*cm 0.15*cm 0.00305*cm 0*rad 360*rad  | 
     pad5_m2_s2_r1 | epoxyAndRailAndPads_m2_s2_r1 | -0.6*cm 0.0002*cm 1.7622*cm | ordered: zyx 0*deg 0*deg -90*deg |     Tube | 0*cm 0.15*cm 0.00305*cm 0*rad 360*rad  | 
     pad6_m2_s2_r1 | epoxyAndRailAndPads_m2_s2_r1 | -0.6*cm 0.0002*cm -2.3189*cm | ordered: zyx 0*deg 0*deg -90*deg |     Tube | 0*cm 0.15*cm 0.00305*cm 0*rad 360*rad  | 
     pad7_m2_s2_r1 | epoxyAndRailAndPads_m2_s2_r1 | -0.6*cm 0.0002*cm -5.3299*cm | ordered: zyx 0*deg 0*deg -90*deg |     Tube | 0*cm 0.15*cm 0.00305*cm 0*rad 360*rad  | 
     pad8_m2_s2_r1 | epoxyAndRailAndPads_m2_s2_r1 | -0.6*cm 0.0002*cm -9.411*cm | ordered: zyx 0*deg 0*deg -90*deg |     Tube | 0*cm 0.15*cm 0.00305*cm 0*rad 360*rad  | 
        sector3_r1 |  region1 | -6.3747416*cm -2.0712791*cm 0*cm | ordered: zyx 72*deg 0*deg 0*deg |      Box | 2.1*cm 0.2581*cm 20.91275*cm  | 
  heatSinkCu_s3_r1 | sector3_r1 | 0*cm 0.0025*cm -17.64625*cm | 0 0 0 |      Box | 2.035*cm 0.1275*cm 3.2665*cm  | 
heatSinkRidge_s3_r1 | sector3_r1 | 0*cm 0.149*cm -20.13275*cm | 0 0 0 |      Box | 2.035*cm 0.019*cm 0.78*cm  | 
    rohacell_s3_r1 | sector3_r1 | 0*cm 0*cm 3.2665*cm | 0 0 0 |      Box | 2.05*cm 0.125*cm 17.64625*cm  | 
   module_m1_s3_r1 | sector3_r1 | 0*cm 0.1741*cm 2.6152*cm | 0 0 0 |      Box | 2.1*cm 0.016*cm 16.75495*cm  | 
sensorPhysical1_m1_s3_r1 | module_m1_s3_r1 | 0*cm 0*cm -11.1737*cm | 0 0 0 |      Box | 2.1*cm 0.016*cm 5.58125*cm  | 
sensorPhysical2_m1_s3_r1 | module_m1_s3_r1 | 0*cm 0*cm -0*cm | 0 0 0 |      Box | 2.1*cm 0.016*cm 5.58125*cm  | 
sensorPhysical3_m1_s3_r1 | module_m1_s3_r1 | 0*cm 0*cm 11.1737*cm | 0 0 0 |      Box | 2.1*cm 0.016*cm 5.58125*cm  | 
carbonFiber_m1_s3_r1 | sector3_r1 | 0*cm 0.1345*cm 0.82925*cm | 0 0 0 |      Box | 2.1*cm 0.0095*cm 20.082*cm  | 
carbonFiberCu_m1_s3_r1 | carbonFiber_m1_s3_r1 | 0*cm 0*cm -17.753*cm | 0 0 0 |      Box | 1.8375*cm 0.0095*cm 2.329*cm  | 
carbonFiberPk_m1_s3_r1 | carbonFiber_m1_s3_r1 | 0*cm 0*cm 2.329*cm | 0 0 0 |      Box | 2.05*cm 0.0095*cm 17.753*cm  | 
 busCable_m1_s3_r1 | sector3_r1 | 0*cm 0.1479*cm 0.82925*cm | 0 0 0 |      Box | 2.1*cm 0.0039*cm 20.082*cm  | 
busCableCu_m1_s3_r1 | busCable_m1_s3_r1 | 0*cm 0*cm -17.753*cm | 0 0 0 |      Box | 1.8375*cm 0.0039*cm 2.329*cm  | 
busCablePk_m1_s3_r1 | busCable_m1_s3_r1 | 0*cm 0*cm 2.329*cm | 0 0 0 |      Box | 2.05*cm 0.0039*cm 17.753*cm  | 
pitchAdaptor_m1_s3_r1 | sector3_r1 | 0*cm 0.1741*cm -14.40975*cm | 0 0 0 |      Box | 2.075*cm 0.016*cm 0.2*cm  | 
pcBoardAndChips_m1_s3_r1 | sector3_r1 | 0*cm 0.2081*cm -16.71175*cm | 0 0 0 |      Box | 1.8365*cm 0.05*cm 2.072*cm  | 
  pcBoard_m1_s3_r1 | pcBoardAndChips_m1_s3_r1 | 0*cm -0.025*cm 0*cm | 0 0 0 |      Box | 1.8365*cm 0.025*cm 2.072*cm  | 
    chipL_m1_s3_r1 | pcBoardAndChips_m1_s3_r1 | 0.999*cm 0.025*cm 1.768*cm | 0 0 0 |      Box | 0.375*cm 0.025*cm 0.25*cm  | 
    chipR_m1_s3_r1 | pcBoardAndChips_m1_s3_r1 | -0.999*cm 0.025*cm 1.768*cm | 0 0 0 |      Box | 0.375*cm 0.025*cm 0.25*cm  | 
epoxyAndRailAndPads_m1_s3_r1 | sector3_r1 | 0*cm 0.15495*cm 0.82925*cm | 0 0 0 |      Box | 2.05*cm 0.00315*cm 20.082*cm  | 
epoxyMajorCu_m1_s3_r1 | epoxyAndRailAndPads_m1_s3_r1 | 0.69375*cm 0*cm -17.753*cm | 0 0 0 |      Box | 1.14375*cm 0.00315*cm 2.329*cm  | 
epoxyMinorCu_m1_s3_r1 | epoxyAndRailAndPads_m1_s3_r1 | -1.29375*cm 0*cm -17.753*cm | 0 0 0 |      Box | 0.54375*cm 0.00315*cm 2.329*cm  | 
epoxyMajorPk_m1_s3_r1 | epoxyAndRailAndPads_m1_s3_r1 | 0.8*cm 0*cm 2.329*cm | 0 0 0 |      Box | 1.25*cm 0.00315*cm 17.753*cm  | 
epoxyMinorPk_m1_s3_r1 | epoxyAndRailAndPads_m1_s3_r1 | -1.4*cm 0*cm 2.329*cm | 0 0 0 |      Box | 0.65*cm 0.00315*cm 17.753*cm  | 
     rail_m1_s3_r1 | epoxyAndRailAndPads_m1_s3_r1 | -0.6*cm -0.003*cm -1.53275*cm | 0 0 0 |      Box | 0.00635*cm 0.00015*cm 18.54925*cm  | 
     pad0_m1_s3_r1 | epoxyAndRailAndPads_m1_s3_r1 | -0.6*cm 0.0002*cm 17.0165*cm | ordered: zyx 0*deg 0*deg -90*deg |     Tube | 0*cm 0.15*cm 0.00305*cm 0*rad 360*rad  | 
     pad1_m1_s3_r1 | epoxyAndRailAndPads_m1_s3_r1 | -0.6*cm 0.0002*cm 17.0165*cm | ordered: zyx 0*deg 0*deg -90*deg |     Tube | 0*cm 0.15*cm 0.00305*cm 0*rad 360*rad  | 
     pad2_m1_s3_r1 | epoxyAndRailAndPads_m1_s3_r1 | -0.6*cm 0.0002*cm 12.9354*cm | ordered: zyx 0*deg 0*deg -90*deg |     Tube | 0*cm 0.15*cm 0.00305*cm 0*rad 360*rad  | 
     pad3_m1_s3_r1 | epoxyAndRailAndPads_m1_s3_r1 | -0.6*cm 0.0002*cm 8.8543*cm | ordered: zyx 0*deg 0*deg -90*deg |     Tube | 0*cm 0.15*cm 0.00305*cm 0*rad 360*rad  | 
     pad4_m1_s3_r1 | epoxyAndRailAndPads_m1_s3_r1 | -0.6*cm 0.0002*cm 5.8433*cm | ordered: zyx 0*deg 0*deg -90*deg |     Tube | 0*cm 0.15*cm 0.00305*cm 0*rad 360*rad  | 
     pad5_m1_s3_r1 | epoxyAndRailAndPads_m1_s3_r1 | -0.6*cm 0.0002*cm 1.7622*cm | ordered: zyx 0*deg 0*deg -90*deg |     Tube | 0*cm 0.15*cm 0.00305*cm 0*rad 360*rad  | 
     pad6_m1_s3_r1 | epoxyAndRailAndPads_m1_s3_r1 | -0.6*cm 0.0002*cm -2.3189*cm | ordered: zyx 0*deg 0*deg -90*deg |     Tube | 0*cm 0.15*cm 0.00305*cm 0*rad 360*rad  | 
     pad7_m1_s3_r1 | epoxyAndRailAndPads_m1_s3_r1 | -0.6*cm 0.0002*cm -5.3299*cm | ordered: zyx 0*deg 0*deg -90*deg |     Tube | 0*cm 0.15*cm 0.00305*cm 0*rad 360*rad  | 
     pad8_m1_s3_r1 | epoxyAndRailAndPads_m1_s3_r1 | -0.6*cm 0.0002*cm -9.411*cm | ordered: zyx 0*deg 0*deg -90*deg |     Tube | 0*cm 0.15*cm 0.00305*cm 0*rad 360*rad  | 
   module_m2_s3_r1 | sector3_r1 | 0*cm -0.1741*cm 2.6152*cm | 0 0 0 |      Box | 2.1*cm 0.016*cm 16.75495*cm  | 
sensorPhysical1_m2_s3_r1 | module_m2_s3_r1 | 0*cm 0*cm -11.1737*cm | 0 0 0 |      Box | 2.1*cm 0.016*cm 5.58125*cm  | 
sensorPhysical2_m2_s3_r1 | module_m2_s3_r1 | 0*cm 0*cm -0*cm | 0 0 0 |      Box | 2.1*cm 0.016*cm 5.58125*cm  | 
sensorPhysical3_m2_s3_r1 | module_m2_s3_r1 | 0*cm 0*cm 11.1737*cm | 0 0 0 |      Box | 2.1*cm 0.016*cm 5.58125*cm  | 
carbonFiber_m2_s3_r1 | sector3_r1 | 0*cm -0.1345*cm 0.82925*cm | 0 0 0 |      Box | 2.1*cm 0.0095*cm 20.082*cm  | 
carbonFiberCu_m2_s3_r1 | carbonFiber_m2_s3_r1 | 0*cm 0*cm -17.753*cm | 0 0 0 |      Box | 1.8375*cm 0.0095*cm 2.329*cm  | 
carbonFiberPk_m2_s3_r1 | carbonFiber_m2_s3_r1 | 0*cm 0*cm 2.329*cm | 0 0 0 |      Box | 2.05*cm 0.0095*cm 17.753*cm  | 
 busCable_m2_s3_r1 | sector3_r1 | 0*cm -0.1479*cm 0.82925*cm | 0 0 0 |      Box | 2.1*cm 0.0039*cm 20.082*cm  | 
busCableCu_m2_s3_r1 | busCable_m2_s3_r1 | 0*cm 0*cm -17.753*cm | 0 0 0 |      Box | 1.8375*cm 0.0039*cm 2.329*cm  | 
busCablePk_m2_s3_r1 | busCable_m2_s3_r1 | 0*cm 0*cm 2.329*cm | 0 0 0 |      Box | 2.05*cm 0.0039*cm 17.753*cm  | 
pitchAdaptor_m2_s3_r1 | sector3_r1 | 0*cm -0.1741*cm -14.40975*cm | 0 0 0 |      Box | 2.075*cm 0.016*cm 0.2*cm  | 
pcBoardAndChips_m2_s3_r1 | sector3_r1 | 0*cm -0.2081*cm -16.71175*cm | ordered: zyx 180*deg 0*deg 0*deg |      Box | 1.8365*cm 0.05*cm 2.072*cm  | 
  pcBoard_m2_s3_r1 | pcBoardAndChips_m2_s3_r1 | 0*cm -0.025*cm 0*cm | 0 0 0 |      Box | 1.8365*cm 0.025*cm 2.072*cm  | 
    chipL_m2_s3_r1 | pcBoardAndChips_m2_s3_r1 | 0.999*cm 0.025*cm 1.768*cm | 0 0 0 |      Box | 0.375*cm 0.025*cm 0.25*cm  | 
    chipR_m2_s3_r1 | pcBoardAndChips_m2_s3_r1 | -0.999*cm 0.025*cm 1.768*cm | 0 0 0 |      Box | 0.375*cm 0.025*cm 0.25*cm  | 
epoxyAndRailAndPads_m2_s3_r1 | sector3_r1 | 0*cm -0.15495*cm 0.82925*cm | ordered: zyx 180*deg 0*deg 0*deg |      Box | 2.05*cm 0.00315*cm 20.082*cm  | 
epoxyMajorCu_m2_s3_r1 | epoxyAndRailAndPads_m2_s3_r1 | 0.69375*cm 0*cm -17.753*cm | 0 0 0 |      Box | 1.14375*cm 0.00315*cm 2.329*cm  | 
epoxyMinorCu_m2_s3_r1 | epoxyAndRailAndPads_m2_s3_r1 | -1.29375*cm 0*cm -17.753*cm | 0 0 0 |      Box | 0.54375*cm 0.00315*cm 2.329*cm  | 
epoxyMajorPk_m2_s3_r1 | epoxyAndRailAndPads_m2_s3_r1 | 0.8*cm 0*cm 2.329*cm | 0 0 0 |      Box | 1.25*cm 0.00315*cm 17.753*cm  | 
epoxyMinorPk_m2_s3_r1 | epoxyAndRailAndPads_m2_s3_r1 | -1.4*cm 0*cm 2.329*cm | 0 0 0 |      Box | 0.65*cm 0.00315*cm 17.753*cm  | 
     rail_m2_s3_r1 | epoxyAndRailAndPads_m2_s3_r1 | -0.6*cm -0.003*cm -1.53275*cm | 0 0 0 |      Box | 0.00635*cm 0.00015*cm 18.54925*cm  | 
     pad0_m2_s3_r1 | epoxyAndRailAndPads_m2_s3_r1 | -0.6*cm 0.0002*cm 17.0165*cm | ordered: zyx 0*deg 0*deg -90*deg |     Tube | 0*cm 0.15*cm 0.00305*cm 0*rad 360*rad  | 
     pad1_m2_s3_r1 | epoxyAndRailAndPads_m2_s3_r1 | -0.6*cm 0.0002*cm 17.0165*cm | ordered: zyx 0*deg 0*deg -90*deg |     Tube | 0*cm 0.15*cm 0.00305*cm 0*rad 360*rad  | 
     pad2_m2_s3_r1 | epoxyAndRailAndPads_m2_s3_r1 | -0.6*cm 0.0002*cm 12.9354*cm | ordered: zyx 0*deg 0*deg -90*deg |     Tube | 0*cm 0.15*cm 0.00305*cm 0*rad 360*rad  | 
     pad3_m2_s3_r1 | epoxyAndRailAndPads_m2_s3_r1 | -0.6*cm 0.0002*cm 8.8543*cm | ordered: zyx 0*deg 0*deg -90*deg |     Tube | 0*cm 0.15*cm 0.00305*cm 0*rad 360*rad  | 
     pad4_m2_s3_r1 | epoxyAndRailAndPads_m2_s3_r1 | -0.6*cm 0.0002*cm 5.8433*cm | ordered: zyx 0*deg 0*deg -90*deg |     Tube | 0*cm 0.15*cm 0.00305*cm 0*rad 360*rad  | 
     pad5_m2_s3_r1 | epoxyAndRailAndPads_m2_s3_r1 | -0.6*cm 0.0002*cm 1.7622*cm | ordered: zyx 0*deg 0*deg -90*deg |     Tube | 0*cm 0.15*cm 0.00305*cm 0*rad 360*rad  | 
     pad6_m2_s3_r1 | epoxyAndRailAndPads_m2_s3_r1 | -0.6*cm 0.0002*cm -2.3189*cm | ordered: zyx 0*deg 0*deg -90*deg |     Tube | 0*cm 0.15*cm 0.00305*cm 0*rad 360*rad  | 
     pad7_m2_s3_r1 | epoxyAndRailAndPads_m2_s3_r1 | -0.6*cm 0.0002*cm -5.3299*cm | ordered: zyx 0*deg 0*deg -90*deg |     Tube | 0*cm 0.15*cm 0.00305*cm 0*rad 360*rad  | 
     pad8_m2_s3_r1 | epoxyAndRailAndPads_m2_s3_r1 | -0.6*cm 0.0002*cm -9.411*cm | ordered: zyx 0*deg 0*deg -90*deg |     Tube | 0*cm 0.15*cm 0.00305*cm 0*rad 360*rad  | 
        sector4_r1 |  region1 | -6.3747416*cm 2.0712791*cm 0*cm | ordered: zyx 108*deg 0*deg 0*deg |      Box | 2.1*cm 0.2581*cm 20.91275*cm  | 
  heatSinkCu_s4_r1 | sector4_r1 | 0*cm 0.0025*cm -17.64625*cm | 0 0 0 |      Box | 2.035*cm 0.1275*cm 3.2665*cm  | 
heatSinkRidge_s4_r1 | sector4_r1 | 0*cm 0.149*cm -20.13275*cm | 0 0 0 |      Box | 2.035*cm 0.019*cm 0.78*cm  | 
    rohacell_s4_r1 | sector4_r1 | 0*cm 0*cm 3.2665*cm | 0 0 0 |      Box | 2.05*cm 0.125*cm 17.64625*cm  | 
   module_m1_s4_r1 | sector4_r1 | 0*cm 0.1741*cm 2.6152*cm | 0 0 0 |      Box | 2.1*cm 0.016*cm 16.75495*cm  | 
sensorPhysical1_m1_s4_r1 | module_m1_s4_r1 | 0*cm 0*cm -11.1737*cm | 0 0 0 |      Box | 2.1*cm 0.016*cm 5.58125*cm  | 
sensorPhysical2_m1_s4_r1 | module_m1_s4_r1 | 0*cm 0*cm -0*cm | 0 0 0 |      Box | 2.1*cm 0.016*cm 5.58125*cm  | 
sensorPhysical3_m1_s4_r1 | module_m1_s4_r1 | 0*cm 0*cm 11.1737*cm | 0 0 0 |      Box | 2.1*cm 0.016*cm 5.58125*cm  | 
carbonFiber_m1_s4_r1 | sector4_r1 | 0*cm 0.1345*cm 0.82925*cm | 0 0 0 |      Box | 2.1*cm 0.0095*cm 20.082*cm  | 
carbonFiberCu_m1_s4_r1 | carbonFiber_m1_s4_r1 | 0*cm 0*cm -17.753*cm | 0 0 0 |      Box | 1.8375*cm 0.0095*cm 2.329*cm  | 
carbonFiberPk_m1_s4_r1 | carbonFiber_m1_s4_r1 | 0*cm 0*cm 2.329*cm | 0 0 0 |      Box | 2.05*cm 0.0095*cm 17.753*cm  | 
 busCable_m1_s4_r1 | sector4_r1 | 0*cm 0.1479*cm 0.82925*cm | 0 0 0 |      Box | 2.1*cm 0.0039*cm 20.082*cm  | 
busCableCu_m1_s4_r1 | busCable_m1_s4_r1 | 0*cm 0*cm -17.753*cm | 0 0 0 |      Box | 1.8375*cm 0.0039*cm 2.329*cm  | 
busCablePk_m1_s4_r1 | busCable_m1_s4_r1 | 0*cm 0*cm 2.329*cm | 0 0 0 |      Box | 2.05*cm 0.0039*cm 17.753*cm  | 
pitchAdaptor_m1_s4_r1 | sector4_r1 | 0*cm 0.1741*cm -14.40975*cm | 0 0 0 |      Box | 2.075*cm 0.016*cm 0.2*cm  | 
pcBoardAndChips_m1_s4_r1 | sector4_r1 | 0*cm 0.2081*cm -16.71175*cm | 0 0 0 |      Box | 1.8365*cm 0.05*cm 2.072*cm  | 
  pcBoard_m1_s4_r1 | pcBoardAndChips_m1_s4_r1 | 0*cm -0.025*cm 0*cm | 0 0 0 |      Box | 1.8365*cm 0.025*cm 2.072*cm  | 
    chipL_m1_s4_r1 | pcBoardAndChips_m1_s4_r1 | 0.999*cm 0.025*cm 1.768*cm | 0 0 0 |      Box | 0.375*cm 0.025*cm 0.25*cm  | 
    chipR_m1_s4_r1 | pcBoardAndChips_m1_s4_r1 | -0.999*cm 0.025*cm 1.768*cm | 0 0 0 |      Box | 0.375*cm 0.025*cm 0.25*cm  | 
epoxyAndRailAndPads_m1_s4_r1 | sector4_r1 | 0*cm 0.15495*cm 0.82925*cm | 0 0 0 |      Box | 2.05*cm 0.00315*cm 20.082*cm  | 
epoxyMajorCu_m1_s4_r1 | epoxyAndRailAndPads_m1_s4_r1 | 0.69375*cm 0*cm -17.753*cm | 0 0 0 |      Box | 1.14375*cm 0.00315*cm 2.329*cm  | 
epoxyMinorCu_m1_s4_r1 | epoxyAndRailAndPads_m1_s4_r1 | -1.29375*cm 0*cm -17.753*cm | 0 0 0 |      Box | 0.54375*cm 0.00315*cm 2.329*cm  | 
epoxyMajorPk_m1_s4_r1 | epoxyAndRailAndPads_m1_s4_r1 | 0.8*cm 0*cm 2.329*cm | 0 0 0 |      Box | 1.25*cm 0.00315*cm 17.753*cm  | 
epoxyMinorPk_m1_s4_r1 | epoxyAndRailAndPads_m1_s4_r1 | -1.4*cm 0*cm 2.329*cm | 0 0 0 |      Box | 0.65*cm 0.00315*cm 17.753*cm  | 
     rail_m1_s4_r1 | epoxyAndRailAndPads_m1_s4_r1 | -0.6*cm -0.003*cm -1.53275*cm | 0 0 0 |      Box | 0.00635*cm 0.00015*cm 18.54925*cm  | 
     pad0_m1_s4_r1 | epoxyAndRailAndPads_m1_s4_r1 | -0.6*cm 0.0002*cm 17.0165*cm | ordered: zyx 0*deg 0*deg -90*deg |     Tube | 0*cm 0.15*cm 0.00305*cm 0*rad 360*rad  | 
     pad1_m1_s4_r1 | epoxyAndRailAndPads_m1_s4_r1 | -0.6*cm 0.0002*cm 17.0165*cm | ordered: zyx 0*deg 0*deg -90*deg |     Tube | 0*cm 0.15*cm 0.00305*cm 0*rad 360*rad  | 
     pad2_m1_s4_r1 | epoxyAndRailAndPads_m1_s4_r1 | -0.6*cm 0.0002*cm 12.9354*cm | ordered: zyx 0*deg 0*deg -90*deg |     Tube | 0*cm 0.15*cm 0.00305*cm 0*rad 360*rad  | 
     pad3_m1_s4_r1 | epoxyAndRailAndPads_m1_s4_r1 | -0.6*cm 0.0002*cm 8.8543*cm | ordered: zyx 0*deg 0*deg -90*deg |     Tube | 0*cm 0.15*cm 0.00305*cm 0*rad 360*rad  | 
     pad4_m1_s4_r1 | epoxyAndRailAndPads_m1_s4_r1 | -0.6*cm 0.0002*cm 5.8433*cm | ordered: zyx 0*deg 0*deg -90*deg |     Tube | 0*cm 0.15*cm 0.00305*cm 0*rad 360*rad  | 
     pad5_m1_s4_r1 | epoxyAndRailAndPads_m1_s4_r1 | -0.6*cm 0.0002*cm 1.7622*cm | ordered: zyx 0*deg 0*deg -90*deg |     Tube | 0*cm 0.15*cm 0.00305*cm 0*rad 360*rad  | 
     pad6_m1_s4_r1 | epoxyAndRailAndPads_m1_s4_r1 | -0.6*cm 0.0002*cm -2.3189*cm | ordered: zyx 0*deg 0*deg -90*deg |     Tube | 0*cm 0.15*cm 0.00305*cm 0*rad 360*rad  | 
     pad7_m1_s4_r1 | epoxyAndRailAndPads_m1_s4_r1 | -0.6*cm 0.0002*cm -5.3299*cm | ordered: zyx 0*deg 0*deg -90*deg |     Tube | 0*cm 0.15*cm 0.00305*cm 0*rad 360*rad  | 
     pad8_m1_s4_r1 | epoxyAndRailAndPads_m1_s4_r1 | -0.6*cm 0.0002*cm -9.411*cm | ordered: zyx 0*deg 0*deg -90*deg |     Tube | 0*cm 0.15*cm 0.00305*cm 0*rad 360*rad  | 
   module_m2_s4_r1 | sector4_r1 | 0*cm -0.1741*cm 2.6152*cm | 0 0 0 |      Box | 2.1*cm 0.016*cm 16.75495*cm  | 
sensorPhysical1_m2_s4_r1 | module_m2_s4_r1 | 0*cm 0*cm -11.1737*cm | 0 0 0 |      Box | 2.1*cm 0.016*cm 5.58125*cm  | 
sensorPhysical2_m2_s4_r1 | module_m2_s4_r1 | 0*cm 0*cm -0*cm | 0 0 0 |      Box | 2.1*cm 0.016*cm 5.58125*cm  | 
sensorPhysical3_m2_s4_r1 | module_m2_s4_r1 | 0*cm 0*cm 11.1737*cm | 0 0 0 |      Box | 2.1*cm 0.016*cm 5.58125*cm  | 
carbonFiber_m2_s4_r1 | sector4_r1 | 0*cm -0.1345*cm 0.82925*cm | 0 0 0 |      Box | 2.1*cm 0.0095*cm 20.082*cm  | 
carbonFiberCu_m2_s4_r1 | carbonFiber_m2_s4_r1 | 0*cm 0*cm -17.753*cm | 0 0 0 |      Box | 1.8375*cm 0.0095*cm 2.329*cm  | 
carbonFiberPk_m2_s4_r1 | carbonFiber_m2_s4_r1 | 0*cm 0*cm 2.329*cm | 0 0 0 |      Box | 2.05*cm 0.0095*cm 17.753*cm  | 
 busCable_m2_s4_r1 | sector4_r1 | 0*cm -0.1479*cm 0.82925*cm | 0 0 0 |      Box | 2.1*cm 0.0039*cm 20.082*cm  | 
busCableCu_m2_s4_r1 | busCable_m2_s4_r1 | 0*cm 0*cm -17.753*cm | 0 0 0 |      Box | 1.8375*cm 0.0039*cm 2.329*cm  | 
busCablePk_m2_s4_r1 | busCable_m2_s4_r1 | 0*cm 0*cm 2.329*cm | 0 0 0 |      Box | 2.05*cm 0.0039*cm 17.753*cm  | 
pitchAdaptor_m2_s4_r1 | sector4_r1 | 0*cm -0.1741*cm -14.40975*cm | 0 0 0 |      Box | 2.075*cm 0.016*cm 0.2*cm  | 
pcBoardAndChips_m2_s4_r1 | sector4_r1 | 0*cm -0.2081*cm -16.71175*cm | ordered: zyx 180*deg 0*deg 0*deg |      Box | 1.8365*cm 0.05*cm 2.072*cm  | 
  pcBoard_m2_s4_r1 | pcBoardAndChips_m2_s4_r1 | 0*cm -0.025*cm 0*cm | 0 0 0 |      Box | 1.8365*cm 0.025*cm 2.072*cm  | 
    chipL_m2_s4_r1 | pcBoardAndChips_m2_s4_r1 | 0.999*cm 0.025*cm 1.768*cm | 0 0 0 |      Box | 0.375*cm 0.025*cm 0.25*cm  | 
    chipR_m2_s4_r1 | pcBoardAndChips_m2_s4_r1 | -0.999*cm 0.025*cm 1.768*cm | 0 0 0 |      Box | 0.375*cm 0.025*cm 0.25*cm  | 
epoxyAndRailAndPads_m2_s4_r1 | sector4_r1 | 0*cm -0.15495*cm 0.82925*cm | ordered: zyx 180*deg 0*deg 0*deg |      Box | 2.05*cm 0.00315*cm 20.082*cm  | 
